user_id,longitude,latitude,date_taken,photo/video_page_url,x,y
10727420@N00,139.700499,35.674,2010-04-09 17:26:25.0,http://www.flickr.com/photos/10727420@N00/4545144774/,15551388.412246225,4255856.495804089
8819274@N04,139.76652099999998,35.709095,2007-02-10 16:08:40.0,http://www.flickr.com/photos/8819274@N04/2650331694/,15558737.947667373,4260666.768969337
62068690@N00,139.765632,35.694482,2008-12-21 15:45:31.0,http://www.flickr.com/photos/62068690@N00/3125862684/,15558638.984640066,4258663.590523438
49503094041@N01,139.784391,35.548589,2011-11-11 05:48:54.0,http://www.flickr.com/photos/49503094041@N01/6332937940/,15560727.226967853,4238684.374246344
40443199@N00,139.768753,35.671521000000006,2006-04-06 16:42:49.0,http://www.flickr.com/photos/40443199@N00/2482548783/,15558986.412770832,4255516.79330149
52465044@N00,139.64738799999998,35.548454,2009-01-20 20:33:36.0,http://www.flickr.com/photos/52465044@N00/3222494692/,15545476.122770699,4238665.903624323
28006645@N06,139.699037,35.674502000000004,2009-11-24 10:32:36.0,http://www.flickr.com/photos/28006645@N06/4147621454/,15551225.663150683,4255925.287188089
53869907@N00,139.774675,35.626971000000005,2006-10-01 16:12:01.0,http://www.flickr.com/photos/53869907@N00/272362496/,15559645.646795304,4249413.811740996
71453924@N00,139.613662,35.662395000000004,2010-04-06 10:03:41.0,http://www.flickr.com/photos/71453924@N00/5407472178/,15541721.761624208,4254266.329525123
67932864@N02,139.78873000000002,35.712963,2012-07-08 13:10:55.0,http://www.flickr.com/photos/67932864@N02/7526094756/,15561210.242238408,4261197.063391985
39569656@N07,139.765942,35.635743,2012-08-10 04:06:16.0,http://www.flickr.com/photos/39569656@N07/9421313472/,15558673.493682208,4250615.23415325
71453924@N00,139.61961100000002,35.631611,2007-01-30 15:49:00.0,http://www.flickr.com/photos/71453924@N00/374495362/,15542384.001274941,4250049.2946315035
34106794@N00,139.700517,35.659737,2005-02-06 02:57:36.0,http://www.flickr.com/photos/34106794@N00/114353566/,15551390.415997056,4253902.15163332
57604326@N03,139.700699,35.685798999999996,2012-03-28 22:36:20.0,http://www.flickr.com/photos/57604326@N03/7033642939/,15551410.676144382,4257473.481850435
57102247@N05,139.61526899999998,35.611734999999996,2012-08-18 20:02:16.0,http://www.flickr.com/photos/57102247@N05/8302157861/,15541900.65204591,4247327.38630042
64165297@N00,139.707684,35.646764000000005,2009-11-11 13:16:59.0,http://www.flickr.com/photos/64165297@N00/4095054397/,15552188.242787575,4252124.868909559
70323761@N00,139.714699,35.641641,2011-05-12 03:29:33.0,http://www.flickr.com/photos/70323761@N00/5746820017/,15552969.149015486,4251423.1046163915
49503031704@N01,139.708,35.669833000000004,2011-12-21 22:53:35.0,http://www.flickr.com/photos/49503031704@N01/6553547105/,15552223.419746663,4255285.489204414
66620281@N02,139.88253799999998,35.633961,2013-10-24 11:59:05.0,http://www.flickr.com/photos/66620281@N02/10610530846/,15571652.901030736,4250371.158874184
